,year,value,metrics,classe
419,1989,0.82,Accuracy Producer,Water
420,1990,0.96,Accuracy Producer,Forest
421,1990,0.33,Accuracy Producer,Shrubland
422,1990,0.16,Accuracy Producer,Flooded Forest
423,1990,0.22,Accuracy Producer,Wetland
424,1990,0.6,Accuracy Producer,Natural Grassland
425,1990,0.88,Accuracy Producer,Pastureland
426,1990,0.5,Accuracy Producer,Cropland
427,1990,0.0,Accuracy Producer,Bareland and Impervious
428,1990,0.19,Accuracy Producer,Rock Outcrop
429,1990,0.81,Accuracy Producer,Water
430,1991,0.96,Accuracy Producer,Forest
431,1991,0.34,Accuracy Producer,Shrubland
432,1991,0.16,Accuracy Producer,Flooded Forest
433,1991,0.21,Accuracy Producer,Wetland
434,1991,0.59,Accuracy Producer,Natural Grassland
435,1991,0.9,Accuracy Producer,Pastureland
436,1991,0.33,Accuracy Producer,Cropland
437,1991,0.0,Accuracy Producer,Bareland and Impervious
438,1991,0.19,Accuracy Producer,Rock Outcrop
439,1991,0.77,Accuracy Producer,Water
440,1992,0.96,Accuracy Producer,Forest
441,1992,0.32,Accuracy Producer,Shrubland
442,1992,0.16,Accuracy Producer,Flooded Forest
443,1992,0.21,Accuracy Producer,Wetland
444,1992,0.6,Accuracy Producer,Natural Grassland
445,1992,0.88,Accuracy Producer,Pastureland
446,1992,0.4,Accuracy Producer,Cropland
447,1992,0.0,Accuracy Producer,Bareland and Impervious
448,1992,0.19,Accuracy Producer,Rock Outcrop
449,1992,0.77,Accuracy Producer,Water
450,1993,0.96,Accuracy Producer,Forest
451,1993,0.32,Accuracy Producer,Shrubland
452,1993,0.16,Accuracy Producer,Flooded Forest
453,1993,0.21,Accuracy Producer,Wetland
454,1993,0.6,Accuracy Producer,Natural Grassland
455,1993,0.9,Accuracy Producer,Pastureland
456,1993,0.67,Accuracy Producer,Cropland
457,1993,0.0,Accuracy Producer,Bareland and Impervious
458,1993,0.19,Accuracy Producer,Rock Outcrop
459,1993,0.78,Accuracy Producer,Water
460,1994,0.96,Accuracy Producer,Forest
461,1994,0.33,Accuracy Producer,Shrubland
462,1994,0.16,Accuracy Producer,Flooded Forest
463,1994,0.2,Accuracy Producer,Wetland
464,1994,0.58,Accuracy Producer,Natural Grassland
465,1994,0.91,Accuracy Producer,Pastureland
466,1994,0.25,Accuracy Producer,Cropland
467,1994,0.0,Accuracy Producer,Bareland and Impervious
468,1994,0.19,Accuracy Producer,Rock Outcrop
469,1994,0.81,Accuracy Producer,Water
470,1995,0.96,Accuracy Producer,Forest
471,1995,0.32,Accuracy Producer,Shrubland
472,1995,0.16,Accuracy Producer,Flooded Forest
473,1995,0.2,Accuracy Producer,Wetland
474,1995,0.59,Accuracy Producer,Natural Grassland
475,1995,0.91,Accuracy Producer,Pastureland
476,1995,0.17,Accuracy Producer,Cropland
477,1995,0.0,Accuracy Producer,Bareland and Impervious
478,1995,0.19,Accuracy Producer,Rock Outcrop
479,1995,0.81,Accuracy Producer,Water
480,1996,0.96,Accuracy Producer,Forest
481,1996,0.32,Accuracy Producer,Shrubland
482,1996,0.16,Accuracy Producer,Flooded Forest
483,1996,0.2,Accuracy Producer,Wetland
